#
# Transition date estimate for NEON.D07.GRSM.DP1.00033
#
# Site: NEON.D07.GRSM.DP1.00033
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2017
# Year max: 2024
# Final Processing Date: 2025-03-14
# Final Processing Time: 12:32:24
# Spline RMSE gcc_mean: 0.00205
# Spline RMSE gcc_50: 0.00208
# Spline RMSE gcc_75: 0.00213
# Spline RMSE gcc_90: 0.00232
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
NEON.D07.GRSM.DP1.00033,DB,1000,falling,gcc_50,2023-10-27,2023-10-24,2023-10-18,2023-10-28,2023-10-25,2023-10-20,2023-10-26,2023-10-22,2023-10-17,0.34501,0.35748,0.3911,0.33493,0.43647
NEON.D07.GRSM.DP1.00033,DB,1000,falling,gcc_50,2022-10-18,2022-10-15,2022-10-08,2022-10-19,2022-10-16,2022-10-09,2022-10-17,2022-10-13,2022-10-07,0.35275,0.36443,0.38915,0.34509,0.43301
NEON.D07.GRSM.DP1.00033,DB,1000,falling,gcc_50,2021-11-02,2021-10-29,2021-10-17,2021-11-03,2021-10-30,2021-10-20,2021-10-31,2021-10-27,2021-10-15,0.35586,0.36954,0.39262,0.34916,0.43471
NEON.D07.GRSM.DP1.00033,DB,1000,falling,gcc_50,2020-10-23,2020-10-18,2020-10-05,2020-10-25,2020-10-20,2020-10-10,2020-10-21,2020-10-16,2020-10-02,0.3703,0.38024,0.39793,0.36371,0.43086
NEON.D07.GRSM.DP1.00033,DB,1000,falling,gcc_50,2019-11-03,2019-10-30,2019-10-23,2019-11-04,2019-10-31,2019-10-25,2019-11-01,2019-10-28,2019-10-22,0.34943,0.36148,0.38482,0.34363,0.4251
NEON.D07.GRSM.DP1.00033,DB,1000,falling,gcc_50,2018-11-01,2018-10-30,2018-10-23,2018-11-02,2018-10-31,2018-10-25,2018-10-31,2018-10-28,2018-10-22,0.35268,0.36332,0.38926,0.34516,0.4306
NEON.D07.GRSM.DP1.00033,DB,1000,falling,gcc_50,2017-11-03,2017-10-31,2017-10-17,2017-11-04,2017-11-01,2017-10-21,2017-11-01,2017-10-29,2017-10-14,0.35554,0.36672,0.38638,0.351,0.42119
NEON.D07.GRSM.DP1.00033,DB,1000,falling,gcc_mean,2024-10-28,2024-10-25,2024-10-18,2024-10-29,2024-10-26,2024-10-20,2024-10-26,2024-10-23,2024-10-17,0.35229,0.36313,0.39086,0.34503,0.4297
NEON.D07.GRSM.DP1.00033,DB,1000,falling,gcc_mean,2023-10-27,2023-10-24,2023-10-18,2023-10-28,2023-10-25,2023-10-20,2023-10-26,2023-10-22,2023-10-17,0.34608,0.35767,0.38895,0.33649,0.43322
NEON.D07.GRSM.DP1.00033,DB,1000,falling,gcc_mean,2022-10-18,2022-10-15,2022-10-08,2022-10-19,2022-10-16,2022-10-10,2022-10-17,2022-10-14,2022-10-07,0.35374,0.36535,0.38945,0.34592,0.4301
NEON.D07.GRSM.DP1.00033,DB,1000,falling,gcc_mean,2021-11-02,2021-10-29,2021-10-18,2021-11-03,2021-10-30,2021-10-21,2021-10-31,2021-10-27,2021-10-16,0.35605,0.36966,0.39118,0.34937,0.43174
NEON.D07.GRSM.DP1.00033,DB,1000,falling,gcc_mean,2020-10-24,2020-10-18,2020-10-06,2020-10-25,2020-10-19,2020-10-10,2020-10-21,2020-10-16,2020-10-02,0.36819,0.37883,0.39636,0.36291,0.4294
NEON.D07.GRSM.DP1.00033,DB,1000,falling,gcc_mean,2019-11-03,2019-10-29,2019-10-21,2019-11-04,2019-10-30,2019-10-23,2019-11-01,2019-10-27,2019-10-20,0.35042,0.36418,0.38579,0.34463,0.4259
NEON.D07.GRSM.DP1.00033,DB,1000,falling,gcc_mean,2018-11-01,2018-10-30,2018-10-22,2018-11-02,2018-10-31,2018-10-24,2018-10-31,2018-10-28,2018-10-21,0.35348,0.3637,0.38992,0.34622,0.43027
NEON.D07.GRSM.DP1.00033,DB,1000,falling,gcc_mean,2017-11-03,2017-10-31,2017-10-17,2017-11-04,2017-11-01,2017-10-22,2017-11-01,2017-10-29,2017-10-12,0.35607,0.36747,0.38573,0.35152,0.41946
