#
# Transition date estimate for NEON.D17.SOAP.DP1.00033
#
# Site: NEON.D17.SOAP.DP1.00033
# Veg Type: EN
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2018
# Year max: 2024
# Final Processing Date: 2025-05-07
# Final Processing Time: 16:48:14
# Spline RMSE gcc_mean: 0.00333
# Spline RMSE gcc_50: 0.00382
# Spline RMSE gcc_75: 0.00424
# Spline RMSE gcc_90: 0.00531
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
NEON.D17.SOAP.DP1.00033,EN,1000,rising,gcc_75,2021-03-10,2021-04-01,2021-04-17,2021-01-29,2021-03-11,2021-04-11,2021-03-28,2021-04-12,2021-04-25,0.38415,0.38769,0.39385,0.38175,0.40594
NEON.D17.SOAP.DP1.00033,EN,1000,rising,gcc_75,2022-02-23,2022-03-14,2022-03-24,2022-02-09,2022-03-08,2022-03-18,2022-03-14,2022-03-19,2022-04-01,0.38138,0.38508,0.3921,0.37898,0.40483
NEON.D17.SOAP.DP1.00033,EN,1000,rising,gcc_75,2023-03-14,2023-04-04,2023-04-25,2023-03-11,2023-03-17,2023-04-18,2023-03-15,2023-04-15,2023-05-01,0.38023,0.38526,0.39342,0.37725,0.40938
NEON.D17.SOAP.DP1.00033,EN,1000,rising,gcc_75,2024-04-10,2024-04-15,2024-04-24,2024-01-27,2024-04-10,2024-04-17,2024-04-15,2024-04-19,2024-06-15,0.3913,0.39482,0.40155,0.38911,0.41301
NEON.D17.SOAP.DP1.00033,EN,1000,rising,gcc_50,2018-05-08,2018-06-15,2018-07-01,2018-04-28,2018-05-12,2018-06-26,2018-05-20,2018-06-26,2018-07-06,0.3769,0.38086,0.38738,0.37467,0.39979
NEON.D17.SOAP.DP1.00033,EN,1000,rising,gcc_50,2019-03-14,2019-03-22,2019-04-09,2019-02-26,2019-03-13,2019-03-25,2019-03-22,2019-03-28,2019-04-30,0.37904,0.38228,0.38754,0.37721,0.39771
NEON.D17.SOAP.DP1.00033,EN,1000,rising,gcc_50,2020-02-20,2020-02-25,2020-03-05,2020-02-15,2020-02-21,2020-02-29,2020-02-21,2020-03-01,2020-03-14,0.38083,0.38446,0.39093,0.37899,0.40241
NEON.D17.SOAP.DP1.00033,EN,1000,rising,gcc_50,2021-03-09,2021-03-23,2021-04-15,2021-01-30,2021-03-12,2021-04-07,2021-03-22,2021-04-03,2021-04-23,0.37789,0.38157,0.38798,0.37543,0.40038
NEON.D17.SOAP.DP1.00033,EN,1000,rising,gcc_50,2022-03-10,2022-03-16,2022-03-24,2022-02-04,2022-03-12,2022-03-19,2022-03-16,2022-03-20,2022-03-29,0.37703,0.38097,0.38777,0.375,0.39994
NEON.D17.SOAP.DP1.00033,EN,1000,rising,gcc_50,2023-04-10,2023-04-19,2023-04-30,2023-03-19,2023-04-12,2023-04-24,2023-04-18,2023-04-25,2023-05-07,0.38247,0.38594,0.39183,0.38024,0.40325
NEON.D17.SOAP.DP1.00033,EN,1000,rising,gcc_50,2024-04-10,2024-04-14,2024-04-21,2024-01-20,2024-04-11,2024-04-17,2024-04-15,2024-04-17,2024-04-28,0.38471,0.38789,0.39517,0.38294,0.40686
NEON.D17.SOAP.DP1.00033,EN,1000,rising,gcc_mean,2018-05-08,2018-05-23,2018-06-28,2018-04-29,2018-05-12,2018-06-21,2018-05-20,2018-06-20,2018-07-03,0.37696,0.38067,0.3869,0.37477,0.39892
NEON.D17.SOAP.DP1.00033,EN,1000,rising,gcc_mean,2019-03-09,2019-03-20,2019-04-12,2019-02-24,2019-03-09,2019-03-27,2019-03-20,2019-03-27,2019-04-28,0.37832,0.38146,0.38755,0.37606,0.39898
NEON.D17.SOAP.DP1.00033,EN,1000,rising,gcc_mean,2020-02-20,2020-02-24,2020-03-05,2020-02-15,2020-02-21,2020-03-04,2020-02-21,2020-02-29,2020-04-13,0.38169,0.38494,0.39103,0.37956,0.40222
NEON.D17.SOAP.DP1.00033,EN,1000,rising,gcc_mean,2021-03-12,2021-03-24,2021-04-17,2021-01-31,2021-03-17,2021-04-09,2021-03-13,2021-03-25,2021-04-24,0.37803,0.3819,0.38885,0.37567,0.40157
NEON.D17.SOAP.DP1.00033,EN,1000,rising,gcc_mean,2022-03-11,2022-03-17,2022-03-25,2022-02-08,2022-03-13,2022-03-21,2022-03-16,2022-03-20,2022-03-31,0.37739,0.38161,0.38811,0.37549,0.4004
NEON.D17.SOAP.DP1.00033,EN,1000,rising,gcc_mean,2023-04-07,2023-04-16,2023-04-29,2023-03-20,2023-04-09,2023-04-22,2023-04-15,2023-04-22,2023-05-05,0.38196,0.38527,0.39147,0.37968,0.40278
NEON.D17.SOAP.DP1.00033,EN,1000,rising,gcc_mean,2024-04-10,2024-04-15,2024-04-23,2024-04-04,2024-04-11,2024-04-18,2024-04-15,2024-04-18,2024-05-06,0.38526,0.38895,0.3953,0.38338,0.40716
NEON.D17.SOAP.DP1.00033,EN,1000,falling,gcc_90,2024-11-18,2024-11-08,2024-10-05,2024-11-23,2024-11-13,2024-10-24,2024-11-11,2024-11-01,2024-09-24,0.37924,0.38551,0.39692,0.37524,0.41836
NEON.D17.SOAP.DP1.00033,EN,1000,falling,gcc_90,2023-10-27,2023-10-20,2023-10-08,2023-11-03,2023-10-24,2023-10-13,2023-10-21,2023-10-15,2023-10-03,0.38761,0.39235,0.40116,0.38473,0.41753
NEON.D17.SOAP.DP1.00033,EN,1000,falling,gcc_90,2022-10-11,2022-10-05,2022-09-26,2022-10-30,2022-10-09,2022-09-30,2022-10-06,2022-09-30,2022-09-24,0.38073,0.38582,0.39479,0.37823,0.40948
NEON.D17.SOAP.DP1.00033,EN,1000,falling,gcc_90,2021-10-26,2021-10-16,2021-09-27,2021-11-05,2021-10-23,2021-10-08,2021-10-17,2021-10-08,2021-09-02,0.38715,0.39123,0.39863,0.38454,0.41263
NEON.D17.SOAP.DP1.00033,EN,1000,falling,gcc_90,2020-10-18,2020-10-08,2020-09-11,2020-11-04,2020-10-16,2020-10-04,2020-10-08,2020-09-07,2020-09-04,0.38644,0.39081,0.39865,0.38369,0.41242
NEON.D17.SOAP.DP1.00033,EN,1000,falling,gcc_90,2019-10-13,2019-10-08,2019-09-28,2019-10-17,2019-10-12,2019-10-05,2019-10-08,2019-10-03,2019-09-22,0.38579,0.38998,0.39713,0.38378,0.40943
NEON.D17.SOAP.DP1.00033,EN,1000,falling,gcc_90,2018-10-22,2018-10-17,2018-09-03,2018-10-27,2018-10-21,2018-10-05,2018-10-17,2018-10-06,2018-08-29,0.38414,0.38811,0.39566,0.3821,0.4085
NEON.D17.SOAP.DP1.00033,EN,1000,falling,gcc_75,2024-11-13,2024-11-06,2024-09-28,2024-11-18,2024-11-11,2024-10-06,2024-11-09,2024-10-29,2024-09-19,0.37831,0.38419,0.3945,0.37448,0.41428
NEON.D17.SOAP.DP1.00033,EN,1000,falling,gcc_75,2023-10-26,2023-10-19,2023-10-09,2023-11-05,2023-10-23,2023-10-14,2023-10-20,2023-10-15,2023-10-04,0.38341,0.38787,0.39678,0.38045,0.41234
NEON.D17.SOAP.DP1.00033,EN,1000,falling,gcc_75,2022-10-08,2022-10-01,2022-09-24,2022-10-17,2022-10-05,2022-09-28,2022-10-02,2022-09-28,2022-09-22,0.37904,0.38401,0.3931,0.37616,0.40763
NEON.D17.SOAP.DP1.00033,EN,1000,falling,gcc_75,2021-10-25,2021-10-15,2021-09-28,2021-11-05,2021-10-22,2021-10-05,2021-10-17,2021-10-06,2021-09-21,0.38184,0.38654,0.39498,0.37914,0.40953
NEON.D17.SOAP.DP1.00033,EN,1000,falling,gcc_75,2020-10-18,2020-10-13,2020-10-03,2020-10-26,2020-10-17,2020-10-04,2020-10-13,2020-10-06,2020-09-04,0.38198,0.38583,0.39471,0.37941,0.40794
NEON.D17.SOAP.DP1.00033,EN,1000,falling,gcc_75,2019-10-17,2019-10-13,2019-10-04,2019-10-21,2019-10-17,2019-10-10,2019-10-13,2019-10-09,2019-09-25,0.38053,0.38435,0.39241,0.37771,0.40593
NEON.D17.SOAP.DP1.00033,EN,1000,falling,gcc_75,2018-10-22,2018-10-16,2018-09-06,2018-10-30,2018-10-20,2018-09-13,2018-10-16,2018-10-10,2018-08-31,0.38081,0.38466,0.39228,0.37815,0.40565
NEON.D17.SOAP.DP1.00033,EN,1000,falling,gcc_50,2024-11-13,2024-11-07,2024-10-09,2024-11-18,2024-11-11,2024-10-25,2024-11-09,2024-11-02,2024-09-30,0.37236,0.37769,0.38799,0.36874,0.40716
NEON.D17.SOAP.DP1.00033,EN,1000,falling,gcc_50,2023-10-26,2023-10-20,2023-10-10,2023-11-06,2023-10-24,2023-10-15,2023-10-21,2023-10-16,2023-10-05,0.37957,0.38315,0.39151,0.37673,0.40547
NEON.D17.SOAP.DP1.00033,EN,1000,falling,gcc_50,2022-10-14,2022-10-05,2022-09-26,2022-10-23,2022-10-10,2022-09-30,2022-10-13,2022-09-30,2022-09-23,0.37462,0.37923,0.38726,0.37167,0.40235
NEON.D17.SOAP.DP1.00033,EN,1000,falling,gcc_50,2021-10-27,2021-10-19,2021-10-01,2021-11-05,2021-10-24,2021-10-07,2021-10-21,2021-10-10,2021-09-26,0.37608,0.38031,0.38771,0.37321,0.4021
NEON.D17.SOAP.DP1.00033,EN,1000,falling,gcc_50,2020-10-20,2020-10-14,2020-10-05,2020-11-10,2020-10-19,2020-10-09,2020-10-14,2020-10-08,2020-09-04,0.37854,0.38224,0.38943,0.37595,0.4023
NEON.D17.SOAP.DP1.00033,EN,1000,falling,gcc_50,2019-10-18,2019-10-13,2019-10-02,2019-10-22,2019-10-17,2019-10-09,2019-10-13,2019-10-07,2019-09-20,0.37693,0.38061,0.38744,0.37497,0.39976
NEON.D17.SOAP.DP1.00033,EN,1000,falling,gcc_50,2018-10-24,2018-10-18,2018-10-07,2018-10-31,2018-10-22,2018-10-08,2018-10-17,2018-10-12,2018-08-30,0.37753,0.38044,0.38698,0.37539,0.39851
NEON.D17.SOAP.DP1.00033,EN,1000,falling,gcc_mean,2024-11-14,2024-11-07,2024-10-07,2024-11-18,2024-11-11,2024-10-22,2024-11-10,2024-11-02,2024-09-29,0.37241,0.37852,0.38885,0.36938,0.40806
NEON.D17.SOAP.DP1.00033,EN,1000,falling,gcc_mean,2023-10-27,2023-10-20,2023-10-11,2023-11-04,2023-10-24,2023-10-16,2023-10-22,2023-10-17,2023-10-07,0.37921,0.38362,0.39146,0.37631,0.40602
NEON.D17.SOAP.DP1.00033,EN,1000,falling,gcc_mean,2022-10-12,2022-10-04,2022-09-25,2022-10-20,2022-10-08,2022-09-28,2022-10-11,2022-09-30,2022-09-23,0.37524,0.37954,0.38852,0.37241,0.40358
NEON.D17.SOAP.DP1.00033,EN,1000,falling,gcc_mean,2021-10-26,2021-10-16,2021-09-26,2021-11-03,2021-10-23,2021-10-02,2021-10-20,2021-10-05,2021-09-20,0.37745,0.3817,0.38932,0.37478,0.40345
NEON.D17.SOAP.DP1.00033,EN,1000,falling,gcc_mean,2020-09-07,2020-09-06,2020-09-03,2020-10-04,2020-10-04,2020-09-05,2020-09-04,2020-09-04,2020-09-02,0.3665,0.37189,0.38481,0.36265,0.40348
NEON.D17.SOAP.DP1.00033,EN,1000,falling,gcc_mean,2019-10-18,2019-10-13,2019-10-02,2019-10-21,2019-10-16,2019-10-08,2019-10-13,2019-10-07,2019-09-21,0.37675,0.38075,0.38803,0.37496,0.40108
NEON.D17.SOAP.DP1.00033,EN,1000,falling,gcc_mean,2018-10-23,2018-10-17,2018-09-07,2018-10-29,2018-10-21,2018-09-13,2018-10-17,2018-10-11,2018-09-01,0.37749,0.38059,0.38713,0.3755,0.39859
