#
# Transition date estimate for NEON.D02.SERC.DP1.00033
#
# Site: NEON.D02.SERC.DP1.00033
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2016
# Year max: 2024
# Final Processing Date: 2025-03-28
# Final Processing Time: 10:43:47
# Spline RMSE gcc_mean: 0.00245
# Spline RMSE gcc_50: 0.00265
# Spline RMSE gcc_75: 0.00276
# Spline RMSE gcc_90: 0.00295
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
NEON.D02.SERC.DP1.00033,DB,1000,rising,gcc_50,2016-03-26,2016-03-31,2016-04-15,2016-03-24,2016-03-30,2016-04-13,2016-03-28,2016-04-03,2016-04-16,0.33125,0.34606,0.37622,0.32085,0.42876
NEON.D02.SERC.DP1.00033,DB,1000,rising,gcc_50,2017-03-29,2017-04-05,2017-04-13,2017-03-21,2017-03-21,2017-03-21,2017-04-20,2017-04-20,2017-04-20,0.32979,0.34487,0.37974,0.31981,0.4289
NEON.D02.SERC.DP1.00033,DB,1000,rising,gcc_50,2018-04-11,2018-04-17,2018-04-25,2018-04-10,2018-04-16,2018-04-24,2018-04-14,2018-04-19,2018-04-26,0.3285,0.3424,0.37113,0.31986,0.41859
NEON.D02.SERC.DP1.00033,DB,1000,rising,gcc_50,2019-04-05,2019-04-09,2019-04-13,2019-04-04,2019-04-08,2019-04-12,2019-04-07,2019-04-10,2019-04-14,0.33017,0.34585,0.37223,0.32098,0.42178
NEON.D02.SERC.DP1.00033,DB,1000,rising,gcc_50,2020-03-20,2020-03-28,2020-04-05,2020-03-17,2020-03-26,2020-04-03,2020-03-23,2020-03-30,2020-04-06,0.3308,0.34569,0.37327,0.32146,0.42036
NEON.D02.SERC.DP1.00033,DB,1000,rising,gcc_50,2021-03-30,2021-04-04,2021-04-09,2021-03-28,2021-04-03,2021-04-08,2021-04-01,2021-04-05,2021-04-10,0.33051,0.34499,0.37134,0.32197,0.41644
NEON.D02.SERC.DP1.00033,DB,1000,rising,gcc_50,2022-03-27,2022-04-07,2022-04-14,2022-03-23,2022-04-06,2022-04-13,2022-04-03,2022-04-09,2022-04-15,0.32967,0.34311,0.37213,0.32006,0.42094
NEON.D02.SERC.DP1.00033,DB,1000,rising,gcc_50,2023-03-29,2023-04-03,2023-04-08,2023-03-27,2023-04-02,2023-04-07,2023-03-31,2023-04-04,2023-04-09,0.33018,0.34439,0.37095,0.32131,0.41686
NEON.D02.SERC.DP1.00033,DB,1000,rising,gcc_50,2024-03-25,2024-04-04,2024-04-11,2024-03-22,2024-04-03,2024-04-09,2024-03-29,2024-04-06,2024-04-12,0.33027,0.34503,0.3742,0.32126,0.41961
NEON.D02.SERC.DP1.00033,DB,1000,rising,gcc_mean,2016-03-25,2016-03-31,2016-04-15,2016-03-24,2016-03-30,2016-04-13,2016-03-28,2016-04-02,2016-04-16,0.3294,0.34712,0.37673,0.32078,0.42794
NEON.D02.SERC.DP1.00033,DB,1000,rising,gcc_mean,2017-03-29,2017-04-05,2017-04-13,2017-03-21,2017-03-21,2017-03-21,2017-04-20,2017-04-20,2017-04-20,0.33037,0.34566,0.37888,0.31963,0.42928
NEON.D02.SERC.DP1.00033,DB,1000,rising,gcc_mean,2018-04-11,2018-04-17,2018-04-25,2018-04-09,2018-04-16,2018-04-23,2018-04-13,2018-04-19,2018-04-26,0.32883,0.34344,0.3726,0.31983,0.41719
NEON.D02.SERC.DP1.00033,DB,1000,rising,gcc_mean,2019-04-04,2019-04-08,2019-04-13,2019-04-03,2019-04-07,2019-04-12,2019-04-06,2019-04-10,2019-04-14,0.32804,0.34163,0.37309,0.32071,0.41987
NEON.D02.SERC.DP1.00033,DB,1000,rising,gcc_mean,2020-03-20,2020-03-28,2020-04-05,2020-03-17,2020-03-26,2020-04-03,2020-03-23,2020-03-30,2020-04-06,0.3309,0.34537,0.37227,0.3211,0.41964
NEON.D02.SERC.DP1.00033,DB,1000,rising,gcc_mean,2021-03-29,2021-04-03,2021-04-09,2021-03-27,2021-04-02,2021-04-07,2021-03-31,2021-04-05,2021-04-10,0.3298,0.34342,0.37377,0.32183,0.41533
NEON.D02.SERC.DP1.00033,DB,1000,rising,gcc_mean,2022-03-27,2022-04-07,2022-04-14,2022-03-23,2022-04-06,2022-04-13,2022-04-02,2022-04-09,2022-04-15,0.32978,0.34346,0.37167,0.31991,0.42027
NEON.D02.SERC.DP1.00033,DB,1000,rising,gcc_mean,2023-03-29,2023-04-02,2023-04-08,2023-03-27,2023-04-01,2023-04-06,2023-03-31,2023-04-04,2023-04-09,0.33066,0.34127,0.37231,0.32129,0.41653
NEON.D02.SERC.DP1.00033,DB,1000,rising,gcc_mean,2024-03-25,2024-04-04,2024-04-11,2024-03-22,2024-04-02,2024-04-09,2024-03-28,2024-04-06,2024-04-12,0.33066,0.34539,0.37437,0.3213,0.41918
NEON.D02.SERC.DP1.00033,DB,1000,falling,gcc_90,2024-10-31,2024-10-27,2024-10-19,2024-11-01,2024-10-28,2024-10-21,2024-10-29,2024-10-25,2024-10-17,0.33269,0.34563,0.3697,0.3253,0.41402
NEON.D02.SERC.DP1.00033,DB,1000,falling,gcc_90,2023-10-31,2023-10-27,2023-10-20,2023-11-01,2023-10-28,2023-10-22,2023-10-29,2023-10-25,2023-10-19,0.32969,0.34394,0.36943,0.32251,0.41168
NEON.D02.SERC.DP1.00033,DB,1000,falling,gcc_90,2022-10-20,2022-10-14,2022-10-08,2022-10-22,2022-10-16,2022-10-09,2022-10-17,2022-10-12,2022-10-07,0.34285,0.35364,0.37132,0.33624,0.40607
NEON.D02.SERC.DP1.00033,DB,1000,falling,gcc_90,2021-11-10,2021-11-07,2021-10-28,2021-11-11,2021-11-08,2021-11-01,2021-11-09,2021-11-05,2021-10-25,0.33239,0.34303,0.3669,0.3241,0.40821
NEON.D02.SERC.DP1.00033,DB,1000,falling,gcc_90,2020-11-02,2020-10-22,2020-10-13,2020-11-03,2020-10-23,2020-10-16,2020-10-29,2020-10-20,2020-10-11,0.33104,0.34541,0.37243,0.32314,0.41889
NEON.D02.SERC.DP1.00033,DB,1000,falling,gcc_90,2019-11-06,2019-10-31,2019-10-24,2019-11-08,2019-11-01,2019-10-27,2019-11-03,2019-10-29,2019-10-23,0.34095,0.35198,0.37493,0.33391,0.40961
NEON.D02.SERC.DP1.00033,DB,1000,falling,gcc_90,2018-10-29,2018-10-25,2018-10-17,2018-10-30,2018-10-27,2018-10-19,2018-10-27,2018-10-23,2018-10-15,0.34211,0.35411,0.37481,0.33471,0.4143
NEON.D02.SERC.DP1.00033,DB,1000,falling,gcc_90,2017-11-05,2017-11-02,2017-10-25,2017-11-06,2017-11-03,2017-10-28,2017-11-03,2017-10-31,2017-10-23,0.33891,0.35108,0.37376,0.33211,0.41388
NEON.D02.SERC.DP1.00033,DB,1000,falling,gcc_90,2016-11-04,2016-11-01,2016-10-15,2016-11-05,2016-11-02,2016-10-18,2016-11-02,2016-10-30,2016-10-14,0.33883,0.35048,0.37799,0.3297,0.42163
NEON.D02.SERC.DP1.00033,DB,1000,falling,gcc_75,2024-10-31,2024-10-27,2024-10-19,2024-11-01,2024-10-28,2024-10-21,2024-10-29,2024-10-25,2024-10-17,0.33191,0.34424,0.36807,0.32451,0.41104
NEON.D02.SERC.DP1.00033,DB,1000,falling,gcc_75,2023-10-31,2023-10-27,2023-10-20,2023-11-01,2023-10-28,2023-10-22,2023-10-29,2023-10-25,2023-10-19,0.32838,0.34174,0.36729,0.32147,0.409
NEON.D02.SERC.DP1.00033,DB,1000,falling,gcc_75,2022-10-20,2022-10-14,2022-10-07,2022-10-22,2022-10-16,2022-10-09,2022-10-17,2022-10-12,2022-10-06,0.3417,0.35141,0.37269,0.33531,0.40351
NEON.D02.SERC.DP1.00033,DB,1000,falling,gcc_75,2021-11-09,2021-11-06,2021-10-26,2021-11-10,2021-11-07,2021-10-29,2021-11-07,2021-11-04,2021-10-23,0.33459,0.34444,0.36695,0.32727,0.40583
NEON.D02.SERC.DP1.00033,DB,1000,falling,gcc_75,2020-10-23,2020-10-19,2020-10-10,2020-10-25,2020-10-20,2020-10-13,2020-10-21,2020-10-17,2020-10-03,0.34129,0.35326,0.37496,0.33328,0.41644
NEON.D02.SERC.DP1.00033,DB,1000,falling,gcc_75,2019-11-06,2019-10-31,2019-10-25,2019-11-08,2019-11-02,2019-10-27,2019-11-03,2019-10-29,2019-10-23,0.33995,0.35107,0.36932,0.33295,0.40565
NEON.D02.SERC.DP1.00033,DB,1000,falling,gcc_75,2018-10-29,2018-10-25,2018-10-16,2018-10-30,2018-10-27,2018-10-19,2018-10-27,2018-10-23,2018-10-15,0.34088,0.3526,0.37425,0.33348,0.41111
NEON.D02.SERC.DP1.00033,DB,1000,falling,gcc_75,2017-11-05,2017-11-02,2017-10-24,2017-11-06,2017-11-03,2017-10-27,2017-11-03,2017-10-31,2017-10-21,0.33804,0.34968,0.37141,0.33132,0.41138
NEON.D02.SERC.DP1.00033,DB,1000,falling,gcc_75,2016-11-04,2016-10-31,2016-10-14,2016-11-05,2016-11-01,2016-10-17,2016-11-02,2016-10-29,2016-10-12,0.33689,0.35075,0.37495,0.32833,0.41871
NEON.D02.SERC.DP1.00033,DB,1000,falling,gcc_50,2024-10-30,2024-10-26,2024-10-18,2024-10-31,2024-10-27,2024-10-20,2024-10-28,2024-10-24,2024-10-16,0.33321,0.34621,0.36845,0.32722,0.40765
NEON.D02.SERC.DP1.00033,DB,1000,falling,gcc_50,2023-10-30,2023-10-26,2023-10-20,2023-11-01,2023-10-27,2023-10-22,2023-10-28,2023-10-25,2023-10-19,0.32851,0.34159,0.36484,0.32022,0.40632
NEON.D02.SERC.DP1.00033,DB,1000,falling,gcc_50,2022-10-18,2022-10-13,2022-10-07,2022-10-20,2022-10-14,2022-10-09,2022-10-15,2022-10-10,2022-10-06,0.34276,0.35092,0.37035,0.33682,0.40102
NEON.D02.SERC.DP1.00033,DB,1000,falling,gcc_50,2021-11-09,2021-11-05,2021-10-25,2021-11-10,2021-11-06,2021-10-29,2021-11-07,2021-11-04,2021-10-23,0.33108,0.34455,0.36476,0.32538,0.4022
NEON.D02.SERC.DP1.00033,DB,1000,falling,gcc_50,2020-10-22,2020-10-19,2020-10-10,2020-10-24,2020-10-20,2020-10-12,2020-10-20,2020-10-17,2020-10-05,0.3406,0.35002,0.37251,0.33276,0.4116
NEON.D02.SERC.DP1.00033,DB,1000,falling,gcc_50,2019-11-07,2019-11-01,2019-10-23,2019-11-08,2019-11-02,2019-10-25,2019-11-04,2019-10-30,2019-10-19,0.33637,0.34728,0.3676,0.33066,0.40326
NEON.D02.SERC.DP1.00033,DB,1000,falling,gcc_50,2018-10-29,2018-10-26,2018-10-17,2018-10-30,2018-10-27,2018-10-19,2018-10-27,2018-10-23,2018-10-15,0.33685,0.34658,0.3691,0.33044,0.40609
NEON.D02.SERC.DP1.00033,DB,1000,falling,gcc_50,2017-11-04,2017-11-02,2017-10-24,2017-11-05,2017-11-03,2017-10-27,2017-11-03,2017-10-31,2017-10-21,0.33618,0.34392,0.36757,0.32848,0.40618
NEON.D02.SERC.DP1.00033,DB,1000,falling,gcc_50,2016-11-03,2016-10-29,2016-10-14,2016-11-04,2016-10-31,2016-10-17,2016-11-01,2016-10-27,2016-10-12,0.33623,0.35058,0.37248,0.33033,0.41164
NEON.D02.SERC.DP1.00033,DB,1000,falling,gcc_mean,2024-10-30,2024-10-26,2024-10-18,2024-10-31,2024-10-27,2024-10-20,2024-10-28,2024-10-24,2024-10-17,0.33267,0.34575,0.36799,0.32671,0.40673
NEON.D02.SERC.DP1.00033,DB,1000,falling,gcc_mean,2023-10-30,2023-10-27,2023-10-20,2023-11-01,2023-10-28,2023-10-22,2023-10-29,2023-10-25,2023-10-19,0.32862,0.33838,0.36484,0.32042,0.40393
NEON.D02.SERC.DP1.00033,DB,1000,falling,gcc_mean,2022-10-18,2022-10-13,2022-10-07,2022-10-20,2022-10-14,2022-10-09,2022-10-16,2022-10-10,2022-10-06,0.34275,0.35075,0.36971,0.33655,0.40063
NEON.D02.SERC.DP1.00033,DB,1000,falling,gcc_mean,2021-11-09,2021-11-06,2021-10-26,2021-11-10,2021-11-07,2021-10-30,2021-11-07,2021-11-04,2021-10-23,0.33114,0.34147,0.36375,0.32539,0.40177
NEON.D02.SERC.DP1.00033,DB,1000,falling,gcc_mean,2020-10-22,2020-10-19,2020-10-09,2020-10-24,2020-10-20,2020-10-12,2020-10-20,2020-10-17,2020-10-05,0.34032,0.34957,0.37304,0.33315,0.41074
NEON.D02.SERC.DP1.00033,DB,1000,falling,gcc_mean,2019-11-07,2019-11-01,2019-10-24,2019-11-08,2019-11-02,2019-10-26,2019-11-04,2019-10-30,2019-10-22,0.33622,0.34682,0.36729,0.33063,0.40238
NEON.D02.SERC.DP1.00033,DB,1000,falling,gcc_mean,2018-10-29,2018-10-25,2018-10-17,2018-10-30,2018-10-27,2018-10-19,2018-10-27,2018-10-23,2018-10-15,0.33707,0.3494,0.36847,0.33069,0.40567
NEON.D02.SERC.DP1.00033,DB,1000,falling,gcc_mean,2017-11-05,2017-11-02,2017-10-24,2017-11-06,2017-11-03,2017-10-27,2017-11-03,2017-10-31,2017-10-22,0.33321,0.34464,0.36845,0.32912,0.40537
NEON.D02.SERC.DP1.00033,DB,1000,falling,gcc_mean,2016-11-03,2016-10-30,2016-10-15,2016-11-04,2016-10-31,2016-10-17,2016-11-01,2016-10-28,2016-10-13,0.33663,0.34953,0.37091,0.3305,0.41075
